,datetime,date,time,rain_1h_mm,accumulation_hours
0,2014-12-12 17:00:00,2014-12-12 00:00:00,17:00:00,0.0,1
1,2014-12-12 18:00:00,2014-12-12 00:00:00,18:00:00,0.0,1
2,2014-12-12 19:00:00,2014-12-12 00:00:00,19:00:00,0.0,1
3,2014-12-12 20:00:00,2014-12-12 00:00:00,20:00:00,0.0,1
4,2014-12-12 21:00:00,2014-12-12 00:00:00,21:00:00,40.0,1
5,2014-12-12 22:00:00,2014-12-12 00:00:00,22:00:00,5.0,1
6,2014-12-12 23:00:00,2014-12-12 00:00:00,23:00:00,4.5,1
7,2014-12-13 00:00:00,2014-12-13 00:00:00,00:00:00,4.5,1
8,2014-12-13 01:00:00,2014-12-13 00:00:00,01:00:00,5.0,1
9,2014-12-13 02:00:00,2014-12-13 00:00:00,02:00:00,4.5,1
10,2014-12-13 03:00:00,2014-12-13 00:00:00,03:00:00,4.5,1
11,2014-12-13 04:00:00,2014-12-13 00:00:00,04:00:00,4.5,1
12,2014-12-13 05:00:00,2014-12-13 00:00:00,05:00:00,4.5,1
13,2014-12-13 06:00:00,2014-12-13 00:00:00,06:00:00,4.5,1
14,2014-12-13 07:00:00,2014-12-13 00:00:00,07:00:00,4.5,1
15,2014-12-13 08:00:00,2014-12-13 00:00:00,08:00:00,4.5,1
16,2014-12-13 09:00:00,2014-12-13 00:00:00,09:00:00,4.5,1
17,2014-12-13 10:00:00,2014-12-13 00:00:00,10:00:00,4.5,1
18,2014-12-13 11:00:00,2014-12-13 00:00:00,11:00:00,4.5,1
19,2014-12-13 12:00:00,2014-12-13 00:00:00,12:00:00,4.0,1
20,2014-12-13 13:00:00,2014-12-13 00:00:00,13:00:00,4.5,1
21,2014-12-13 14:00:00,2014-12-13 00:00:00,14:00:00,4.5,1
22,2014-12-13 15:00:00,2014-12-13 00:00:00,15:00:00,4.5,1
23,2014-12-13 16:00:00,2014-12-13 00:00:00,16:00:00,4.5,1
24,2014-12-13 17:00:00,2014-12-13 00:00:00,17:00:00,4.5,1
25,2014-12-13 18:00:00,2014-12-13 00:00:00,18:00:00,4.5,1
26,2014-12-13 19:00:00,2014-12-13 00:00:00,19:00:00,4.5,1
27,2014-12-13 20:00:00,2014-12-13 00:00:00,20:00:00,4.5,1
28,2014-12-13 21:00:00,2014-12-13 00:00:00,21:00:00,4.5,1
29,2014-12-13 22:00:00,2014-12-13 00:00:00,22:00:00,4.5,1
30,2014-12-13 23:00:00,2014-12-13 00:00:00,23:00:00,4.5,1
31,2014-12-14 00:00:00,2014-12-14 00:00:00,00:00:00,4.0,1
32,2014-12-14 01:00:00,2014-12-14 00:00:00,01:00:00,4.5,1
33,2014-12-14 02:00:00,2014-12-14 00:00:00,02:00:00,4.5,1
34,2014-12-14 03:00:00,2014-12-14 00:00:00,03:00:00,4.5,1
35,2014-12-14 04:00:00,2014-12-14 00:00:00,04:00:00,4.5,1
36,2014-12-14 05:00:00,2014-12-14 00:00:00,05:00:00,4.0,1
37,2014-12-14 06:00:00,2014-12-14 00:00:00,06:00:00,4.5,1
38,2014-12-14 07:00:00,2014-12-14 00:00:00,07:00:00,4.5,1
39,2014-12-14 08:00:00,2014-12-14 00:00:00,08:00:00,4.5,1
40,2014-12-14 09:00:00,2014-12-14 00:00:00,09:00:00,4.5,1
41,2014-12-14 10:00:00,2014-12-14 00:00:00,10:00:00,4.5,1
42,2014-12-14 11:00:00,2014-12-14 00:00:00,11:00:00,4.5,1
43,2014-12-14 12:00:00,2014-12-14 00:00:00,12:00:00,4.5,1
44,2014-12-14 13:00:00,2014-12-14 00:00:00,13:00:00,4.5,1
45,2014-12-14 14:00:00,2014-12-14 00:00:00,14:00:00,4.5,1
46,2014-12-14 15:00:00,2014-12-14 00:00:00,15:00:00,4.5,1
47,2014-12-14 16:00:00,2014-12-14 00:00:00,16:00:00,4.5,1
48,2014-12-14 17:00:00,2014-12-14 00:00:00,17:00:00,4.5,1
49,2014-12-14 18:00:00,2014-12-14 00:00:00,18:00:00,5.0,1
50,2014-12-14 19:00:00,2014-12-14 00:00:00,19:00:00,4.5,1
51,2014-12-14 20:00:00,2014-12-14 00:00:00,20:00:00,4.5,1
52,2014-12-14 21:00:00,2014-12-14 00:00:00,21:00:00,4.5,1
53,2014-12-14 22:00:00,2014-12-14 00:00:00,22:00:00,4.5,1
54,2014-12-14 23:00:00,2014-12-14 00:00:00,23:00:00,4.5,1
55,2014-12-15 00:00:00,2014-12-15,00:00:00,,
56,2014-12-15 01:00:00,2014-12-15,01:00:00,,
57,2014-12-15 02:00:00,2014-12-15,02:00:00,,
58,2014-12-15 03:00:00,2014-12-15,03:00:00,,
59,2014-12-15 04:00:00,2014-12-15,04:00:00,,
60,2014-12-15 05:00:00,2014-12-15,05:00:00,,
61,2014-12-15 06:00:00,2014-12-15,06:00:00,,
62,2014-12-15 07:00:00,2014-12-15,07:00:00,,
63,2014-12-15 08:00:00,2014-12-15,08:00:00,,
64,2014-12-15 09:00:00,2014-12-15,09:00:00,,
65,2014-12-15 10:00:00,2014-12-15,10:00:00,,
66,2014-12-15 11:00:00,2014-12-15,11:00:00,,
67,2014-12-15 12:00:00,2014-12-15,12:00:00,,
68,2014-12-15 13:00:00,2014-12-15,13:00:00,,
69,2014-12-15 14:00:00,2014-12-15,14:00:00,,
70,2014-12-15 15:00:00,2014-12-15,15:00:00,,
71,2014-12-15 16:00:00,2014-12-15,16:00:00,,
72,2014-12-15 17:00:00,2014-12-15,17:00:00,,
73,2014-12-15 18:00:00,2014-12-15,18:00:00,,
74,2014-12-15 19:00:00,2014-12-15,19:00:00,,
