Time,Precipitation
01-Jan-2001,0
02-Jan-2001,0
03-Jan-2001,0
04-Jan-2001,0
05-Jan-2001,0
06-Jan-2001,0
07-Jan-2001,2
08-Jan-2001,1
09-Jan-2001,0
10-Jan-2001,0
11-Jan-2001,0
12-Jan-2001,0
13-Jan-2001,0
14-Jan-2001,0
15-Jan-2001,0
16-Jan-2001,0.8
17-Jan-2001,9.2
18-Jan-2001,7
19-Jan-2001,0.6
20-Jan-2001,0.2
21-Jan-2001,0
22-Jan-2001,0
23-Jan-2001,0
24-Jan-2001,0
25-Jan-2001,0
26-Jan-2001,0
27-Jan-2001,13.6
28-Jan-2001,0.6
29-Jan-2001,0
30-Jan-2001,3.4
31-Jan-2001,159
01-Feb-2001,16
02-Feb-2001,5.8
03-Feb-2001,0.2
04-Feb-2001,0
05-Feb-2001,5.4
06-Feb-2001,13.4
07-Feb-2001,0.2
08-Feb-2001,0
09-Feb-2001,0
10-Feb-2001,5
11-Feb-2001,0
12-Feb-2001,0
13-Feb-2001,0
14-Feb-2001,9.6
15-Feb-2001,0.2
16-Feb-2001,4.8
17-Feb-2001,0
18-Feb-2001,0
19-Feb-2001,0
20-Feb-2001,0.6
21-Feb-2001,13
22-Feb-2001,0
23-Feb-2001,0
24-Feb-2001,0
25-Feb-2001,0
26-Feb-2001,0
27-Feb-2001,0
28-Feb-2001,3.8
01-Mar-2001,4.4
02-Mar-2001,5.4
03-Mar-2001,0.8
04-Mar-2001,0
05-Mar-2001,2.2
06-Mar-2001,5.2
07-Mar-2001,7.6
08-Mar-2001,0.8
09-Mar-2001,1.4
10-Mar-2001,0.2
11-Mar-2001,15.2
12-Mar-2001,4.8
13-Mar-2001,0
14-Mar-2001,3.4
15-Mar-2001,0
16-Mar-2001,0
17-Mar-2001,0.2
18-Mar-2001,0
19-Mar-2001,0
20-Mar-2001,0
21-Mar-2001,0.6
22-Mar-2001,0
23-Mar-2001,0
24-Mar-2001,0
25-Mar-2001,1
26-Mar-2001,0
27-Mar-2001,0
28-Mar-2001,0
29-Mar-2001,0
30-Mar-2001,0
31-Mar-2001,0
01-Apr-2001,0
02-Apr-2001,9
03-Apr-2001,0.4
04-Apr-2001,0
05-Apr-2001,0
06-Apr-2001,0
07-Apr-2001,0
08-Apr-2001,0
09-Apr-2001,0
10-Apr-2001,43.6
11-Apr-2001,0
12-Apr-2001,0.8
13-Apr-2001,0.2
14-Apr-2001,0
15-Apr-2001,0
16-Apr-2001,0
17-Apr-2001,0
18-Apr-2001,0
19-Apr-2001,0
20-Apr-2001,7
21-Apr-2001,12.4
22-Apr-2001,9.6
23-Apr-2001,0
24-Apr-2001,0
25-Apr-2001,0
26-Apr-2001,0
27-Apr-2001,0
28-Apr-2001,0
29-Apr-2001,0
30-Apr-2001,49.6
01-May-2001,47
02-May-2001,8.2
03-May-2001,0
04-May-2001,0
05-May-2001,22.6
06-May-2001,38.8
07-May-2001,31.4
08-May-2001,42.4
09-May-2001,0.2
10-May-2001,0
11-May-2001,0
12-May-2001,0
13-May-2001,0
14-May-2001,0
15-May-2001,0
16-May-2001,0
17-May-2001,0
18-May-2001,2.6
19-May-2001,7.4
20-May-2001,0.2
21-May-2001,0
22-May-2001,3.6
23-May-2001,0.4
24-May-2001,0
25-May-2001,0
26-May-2001,0
27-May-2001,0
28-May-2001,24.6
29-May-2001,32.6
30-May-2001,0
31-May-2001,0
01-Jun-2001,29.4
02-Jun-2001,2.6
03-Jun-2001,0
04-Jun-2001,0
05-Jun-2001,0
06-Jun-2001,0
07-Jun-2001,0
08-Jun-2001,0
09-Jun-2001,0
10-Jun-2001,6.2
11-Jun-2001,0.4
12-Jun-2001,0
13-Jun-2001,0
14-Jun-2001,0
15-Jun-2001,0
16-Jun-2001,0
17-Jun-2001,0
18-Jun-2001,0
19-Jun-2001,0
20-Jun-2001,0
21-Jun-2001,0
22-Jun-2001,0
23-Jun-2001,0
24-Jun-2001,0
25-Jun-2001,0
26-Jun-2001,0.2
27-Jun-2001,0.4
28-Jun-2001,0
29-Jun-2001,0
30-Jun-2001,0
01-Jul-2001,0
02-Jul-2001,0.6
03-Jul-2001,0
04-Jul-2001,0
05-Jul-2001,0
06-Jul-2001,1.6
07-Jul-2001,0
08-Jul-2001,0
09-Jul-2001,2.8
10-Jul-2001,15
11-Jul-2001,6.4
12-Jul-2001,0.2
13-Jul-2001,0.4
14-Jul-2001,0
15-Jul-2001,0
16-Jul-2001,0
17-Jul-2001,0
18-Jul-2001,0
19-Jul-2001,0
20-Jul-2001,0
21-Jul-2001,0
22-Jul-2001,13
23-Jul-2001,1
24-Jul-2001,5.6
25-Jul-2001,19.2
26-Jul-2001,13.6
27-Jul-2001,4.6
28-Jul-2001,4.2
29-Jul-2001,11
