Time,Precipitation
01-Jan-2001,0
02-Jan-2001,0
03-Jan-2001,0
04-Jan-2001,0
05-Jan-2001,0
06-Jan-2001,0
07-Jan-2001,0
08-Jan-2001,0
09-Jan-2001,0
10-Jan-2001,0
11-Jan-2001,0
12-Jan-2001,0
13-Jan-2001,0
14-Jan-2001,0
15-Jan-2001,0
16-Jan-2001,0.2
17-Jan-2001,0.4
18-Jan-2001,37.4
19-Jan-2001,0.6
20-Jan-2001,0
21-Jan-2001,0
22-Jan-2001,0
23-Jan-2001,0
24-Jan-2001,0.2
25-Jan-2001,0
26-Jan-2001,0
27-Jan-2001,10.6
28-Jan-2001,3.8
29-Jan-2001,0.2
30-Jan-2001,14
31-Jan-2001,48.2
01-Feb-2001,43.2
02-Feb-2001,4.2
03-Feb-2001,0
04-Feb-2001,1.6
05-Feb-2001,43.6
06-Feb-2001,45
07-Feb-2001,0.2
08-Feb-2001,0
09-Feb-2001,0
10-Feb-2001,3.2
11-Feb-2001,1
12-Feb-2001,0
13-Feb-2001,1.4
14-Feb-2001,8
15-Feb-2001,0.6
16-Feb-2001,0.2
17-Feb-2001,0
18-Feb-2001,0
19-Feb-2001,0
20-Feb-2001,0
21-Feb-2001,2.2
22-Feb-2001,0
23-Feb-2001,0
24-Feb-2001,0
25-Feb-2001,0
26-Feb-2001,0
27-Feb-2001,0.8
28-Feb-2001,0.2
01-Mar-2001,11.2
02-Mar-2001,4.6
03-Mar-2001,10.2
04-Mar-2001,0
05-Mar-2001,0.2
06-Mar-2001,6.8
07-Mar-2001,7.2
08-Mar-2001,4.4
09-Mar-2001,11.2
10-Mar-2001,4.4
11-Mar-2001,18.8
12-Mar-2001,26.4
13-Mar-2001,0
14-Mar-2001,0
15-Mar-2001,0
16-Mar-2001,0.8
17-Mar-2001,0.8
18-Mar-2001,0
19-Mar-2001,0
20-Mar-2001,0
21-Mar-2001,0
22-Mar-2001,0
23-Mar-2001,0
24-Mar-2001,0
25-Mar-2001,2.4
26-Mar-2001,0
27-Mar-2001,0
28-Mar-2001,0
29-Mar-2001,0
30-Mar-2001,0
31-Mar-2001,0
01-Apr-2001,0
02-Apr-2001,18.4
03-Apr-2001,0.2
04-Apr-2001,0
05-Apr-2001,0
06-Apr-2001,0
07-Apr-2001,0
08-Apr-2001,0
09-Apr-2001,35
10-Apr-2001,2
11-Apr-2001,0
12-Apr-2001,0
13-Apr-2001,0
14-Apr-2001,0
15-Apr-2001,0
16-Apr-2001,0
17-Apr-2001,0
18-Apr-2001,0
19-Apr-2001,0.6
20-Apr-2001,3.2
21-Apr-2001,28.2
22-Apr-2001,30.4
23-Apr-2001,0.2
24-Apr-2001,0
25-Apr-2001,0
26-Apr-2001,0
27-Apr-2001,0
28-Apr-2001,0
29-Apr-2001,0
30-Apr-2001,1.4
01-May-2001,0.6
02-May-2001,0
03-May-2001,0
04-May-2001,0
05-May-2001,5.6
06-May-2001,7.4
07-May-2001,4.6
08-May-2001,3.4
09-May-2001,0
10-May-2001,0
11-May-2001,0
12-May-2001,0
13-May-2001,0
14-May-2001,0
15-May-2001,0
16-May-2001,0
17-May-2001,0
18-May-2001,0.6
19-May-2001,0
20-May-2001,0.2
21-May-2001,0
22-May-2001,0
23-May-2001,0
24-May-2001,0
25-May-2001,0
26-May-2001,0
27-May-2001,0
28-May-2001,4
29-May-2001,6.8
30-May-2001,0
31-May-2001,0
01-Jun-2001,0
02-Jun-2001,0
03-Jun-2001,0.2
04-Jun-2001,0
05-Jun-2001,0
06-Jun-2001,0.2
07-Jun-2001,0.2
08-Jun-2001,0
09-Jun-2001,0
10-Jun-2001,0
11-Jun-2001,0.2
12-Jun-2001,0
13-Jun-2001,0
14-Jun-2001,0
15-Jun-2001,0
16-Jun-2001,0
17-Jun-2001,0
18-Jun-2001,0
19-Jun-2001,0
20-Jun-2001,0
21-Jun-2001,0
22-Jun-2001,0
23-Jun-2001,0.2
24-Jun-2001,0
25-Jun-2001,0
26-Jun-2001,0
27-Jun-2001,0
28-Jun-2001,0
29-Jun-2001,0.2
30-Jun-2001,0
01-Jul-2001,0
02-Jul-2001,7.4
03-Jul-2001,0.2
04-Jul-2001,0
05-Jul-2001,0
06-Jul-2001,3.2
07-Jul-2001,0
08-Jul-2001,0
09-Jul-2001,0
10-Jul-2001,0
11-Jul-2001,1
12-Jul-2001,5.8
13-Jul-2001,2
14-Jul-2001,0
15-Jul-2001,0
16-Jul-2001,0
17-Jul-2001,0
18-Jul-2001,0
19-Jul-2001,0
20-Jul-2001,0
21-Jul-2001,0
22-Jul-2001,0
23-Jul-2001,0
24-Jul-2001,1
25-Jul-2001,2.4
26-Jul-2001,22.6
27-Jul-2001,5.8
28-Jul-2001,0
29-Jul-2001,0
30-Jul-2001,0
